ID,value
32,2.5882
36,46.5426
44,62.2706
051,0.1278
124,46.5426
144,0.3930
156,9.7440
170,0.0219
188,0.1092
191,9.9692
203,2.8926
208,9.9117
214,1.2572
344,7.8874
348,0.2332
352,0.5997
356,0.9138
360,0.0044
376,17.3031
392,0.5635
398,0.1887
410,0.0576
417,0.9046
458,15.7407
462,4.0174
480,1.8047
484,3.1618
498,3.7445
504,6.6127
554,42.7389
578,7.7183
604,19.0427
608,1.1846
634,17.1026
643,1
690,4.5289
702,46.3099
704,0.0027
710,4.9910
752,7.1656
756,61.8978
764,1.9372
784,16.9531
788,24.7842
810,1
826,83.7667
840,61.9164
901,2.0825
933,30.9582
941,0.6232
944,36.3893
946,15.9476
949,14.1008
975,37.7493
978,73.8601
980,2.36593
981,25.5973
985,17.2681
986,17.0898
