cl_id,channel_type,cl_id,PERIOD_count,sum_POS,sum_IN,sum_OUT,sum_CAT,sum_amount,sum_Розничные магазины,sum_Поставщик услуг,sum_Различные магазины,sum_Развлечения,sum_Магазины одежды,sum_Транспорт,sum_Бизнес услуги,sum_Государственные услуги,sum_Личные услуги,sum_Коммунальные и кабельные услуги,sum_Отели и мотели,sum_Профессиональные услуги,sum_Автомобили и транспортные средства,sum_Ремонтные услуги,sum_Аренда автомобилей,sum_Продажи по почте/телефону,sum_Оптовые поставщики и производители,"sum_Авиалинии, авиакомпании",sum_Членские организации,sum_Контрактные услуги,multi_currency,mode_MCC,num_days_in_use,target_flag,target_sum,ostatok
0,type0,0,2,7821.0,20000.0,36562.0,0.0,64383.0,7054.0,56562.0,767.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,rub,1,53,0,0.0,-24383.0
1,type0,1,4,187052.67109100003,95000.0,50000.0,0.0,332052.671091,23103.940122,145886.3212,133536.383161,12489.6053,10836.367198,3774.25111,2215.803,210.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,multi + rub,41,92,0,0.0,-142052.67109100003
5,type0,5,4,302374.362892,143990.0,111878.38,0.0,558242.742892,63968.355072000006,241878.38,37826.65282,15919.010000000002,111256.0,71183.44,0.0,3825.0,1600.0,4800.0,3781.905,2204.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,multi + rub,31,92,1,326211.75,-270262.742892
9,type0,9,3,12365.09,301950.0,535000.0,0.0,849315.09,39.0,836950.0,12326.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,rub,27,89,0,0.0,-245415.08999999997
10,type0,10,3,200798.20999999993,436300.0,449392.9,37694.979999999996,1124186.09,119800.31,923387.88,37580.07,0.0,14807.0,0.0,2400.0,0.0,0.0,400.0,0.0,611.0,24549.83,650.0,0.0,0.0,0.0,0.0,0.0,0.0,rub,103,89,0,0.0,-213891.11
11,type0,11,4,251884.51782900002,182000.0,0.0,0.0,433884.51782899996,35778.84791,182000.0,96826.83300000001,16960.0,23345.582599,1270.39372,0.0,0.0,1000.0,0.0,17090.0,6940.0,51446.700000000004,783.0,443.16060000000004,0.0,0.0,0.0,0.0,0.0,multi + rub,63,91,0,0.0,-69884.51782900002
14,type0,14,4,258990.17,152700.0,37000.0,0.0,448690.1699999999,34630.96,189700.0,87704.81,640.0,20530.0,106951.0,0.0,254.75,1900.0,3599.0,0.0,1800.0,979.65,0.0,0.0,0.0,0.0,0.0,0.0,0.0,rub,60,92,1,187776.76,-143290.17000000004
20,type0,20,3,222308.09000000003,215000.0,0.0,0.0,437308.09,96790.99999999999,215000.0,12051.86,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,106090.23,7275.0,0.0,0.0,0.0,0.0,0.0,0.0,rub,20,73,0,0.0,-7308.090000000026
21,type0,21,3,220103.65000000002,118777.0,0.0,0.0,338880.65,28519.489999999998,116476.14,104250.3,580.0,28965.0,6792.0,0.0,0.0,2641.52,3762.3,2280.0,0.0,41748.3,0.0,0.0,2075.1,790.5,0.0,0.0,0.0,rub,35,88,0,0.0,-101326.65000000002
22,type0,22,4,110267.0,122600.0,16400.0,500.0,249767.0,54674.32,139000.0,3510.58,0.0,50273.1,0.0,98.0,511.0,0.0,500.0,0.0,0.0,1200.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,rub,12,66,0,0.0,-4067.0
23,type0,23,4,11969.8,109500.0,79000.0,0.0,200469.80000000002,3116.8,188500.0,4741.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4112.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,rub,13,97,1,3888.0,18530.199999999997
24,type0,24,3,58185.76,55000.0,0.0,0.0,113185.76000000001,2954.99,55000.0,52700.0,0.0,0.0,0.0,0.0,0.0,0.0,611.0,0.0,0.0,1919.77,0.0,0.0,0.0,0.0,0.0,0.0,0.0,rub,3,61,1,1260.64,-3185.760000000002
